结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
结构_三维体素二分层摘要	特征类.h	117	bool 有效 = false; | std::uint32_t 顶层边长 = 4; | std::uint32_t 细分层数 = 0; | std::uint64_t 最终边长 = 0; | std::uint32_t 原始宽度 = 0; | std::uint32_t 原始高度 = 0; | std::uint32_t 原始深度 = 0; | bool 来源为非立方体 = false; | ...(+4)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素链节点信息	特征类.h	137	bool 有效 = false; | bool 是根 = false; | std::uint32_t 层级 = 0; | std::uint32_t 最大层级 = 0; | std::uint32_t x = 0; | std::uint32_t y = 0; | std::uint32_t z = 0; | std::uint32_t 边长 = 0; | ...(+7)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素链写入结果	特征类.h	154	bool 成功 = false; | VecU句柄 根句柄{}; | std::vector<VecU句柄> 叶子句柄{}; | 结构_三维体素二分层摘要 摘要{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素链查询结果	特征类.h	161	bool 命中 = false; | VecU句柄 节点句柄{}; | 结构_三维体素链节点信息 节点{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素空间点毫米	特征类.h	167	I64 x = 0; | I64 y = 0; | I64 z = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素轮廓图视角	特征类.h	173	std::uint32_t 宽度 = 0; | std::uint32_t 高度 = 0; | std::uint32_t 视角序号 = 0; | std::vector<std::uint8_t> 轮廓掩码{}; | std::vector<I64> 深度_mm{}; | std::vector<结构_三维体素空间点毫米> 空间点_mm{}; | std::vector<std::uint32_t> 颜色_RGBA{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素轮廓融合参数	特征类.h	183	std::uint32_t 体素边长_mm = 0; | std::uint32_t 互补最大间隔体素 = 1; | std::uint32_t 最小确认视角数 = 1; | std::uint64_t 最大输出体素数 = 2000000; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素颜色项	特征类.h	190	std::uint32_t x = 0; | std::uint32_t y = 0; | std::uint32_t z = 0; | std::uint32_t 颜色_RGBA = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素轮廓融合结果	特征类.h	197	bool 成功 = false; | std::string 失败原因{}; | VecIU64 占据位块{}; | std::vector<结构_三维体素颜色项> 体素颜色{}; | std::uint32_t 宽度 = 0; | std::uint32_t 高度 = 0; | std::uint32_t 深度 = 0; | std::uint32_t 体素边长_mm = 0; | ...(+10)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素存在空间绑定参数	特征类.h	217	I64 原点X_mm = 0; | I64 原点Y_mm = 0; | I64 原点Z_mm = 0; | std::uint32_t 最小体素边长_mm = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_三维体素局部轮廓相似度结果	特征类.h	224	bool 可比较 = false; | std::string 不可比较原因{}; | I64 相似度Q10000 = 0; | I64 命中率Q10000 = 0; | I64 越界惩罚Q10000 = 0; | std::uint32_t 请求查询层级 = 0; | std::uint32_t 实际查询层级 = 0; | std::uint32_t 存在体素网格边长 = 0; | ...(+10)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
常用抽象特征初始化结果	特征类.h	244	std::uint32_t 抽象特征数 = 0; | std::uint32_t 区间状态数 = 0; | bool 成功 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
分层索引节点	特征值类.h	174	std::unordered_map<I64, 分层索引节点*> 子{}; | std::vector<节点类*> 叶子{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455短期观察材料页	外设观察报告队列.ixx	817	std::uint64_t 报告ID = 0; | std::int64_t 创建时间毫秒 = 0; | std::int64_t 过期时间毫秒 = 0; | 双目相机本能适配器::调用结果 来源{}; | 结构_外设观察报告队列项 报告{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_外设观察队列共享状态	外设观察报告队列.ixx	825	std::mutex 互斥{}; | std::deque<结构_外设观察报告队列项> 报告队列{}; | std::deque<结构_D455短期观察材料页> D455材料页队列{}; | std::vector<结构_外设观察等待项> 等待项集合{}; | std::deque<结构_目标观察约束特征组> 目标观察约束缓冲区{}; | std::uint64_t 最新报告ID = 0; | std::uint64_t 最新目标观察约束ID = 0; | std::size_t 队列容量 = 256; | ...(+4)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455线程共享状态	外设线程_D455深度相机.ixx	155	mutable std::mutex 互斥{}; | std::condition_variable 条件{}; | 结构_D455深度相机线程配置 配置{}; | 枚举_D455深度相机线程生命周期状态::未启动; | bool 停止请求 = false; | bool 已结束 = false; | 结构_D455深度相机线程结果 结果{}; | std::vector<结构_D455深度相机观察样本> 样本{}; | ...(+1)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455跟踪稳定缓存项	外设线程_D455深度相机.ixx	176	std::uint64_t 等待项ID = 0; | std::string 跟踪种子{}; | bool 有最近中心 = false; | std::int64_t 最近中心X = 0; | std::int64_t 最近中心Y = 0; | std::int64_t 最近中心Z = 0; | std::int64_t 连续成功次数 = 0; | std::int64_t 失败次数 = 0; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455跨帧观察簇缓存项	外设线程_D455深度相机.ixx	187	std::int64_t 跨帧簇ID = -1; | bool 本帧已匹配 = false; | std::int64_t 最近来源空间候选ID = -1; | std::int64_t 最近像素数量 = 0; | std::int64_t 最近中心X = 0; | std::int64_t 最近中心Y = 0; | std::int64_t 最近中心Z = 0; | std::int64_t 最近投影中心X = 0; | ...(+28)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455迁移分割深度源	外设线程_D455深度相机.ixx	333	const std::vector<std::int64_t>* 深度 = nullptr; | bool 依赖补全或融合 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455迁移分割组件	外设线程_D455深度相机.ixx	338	std::vector<std::size_t> 像素索引{}; | std::int64_t 切片最小深度 = 0; | std::int64_t 切片最大深度 = 0; | std::int64_t 投影最小X = 0; | std::int64_t 投影最大X = 0; | std::int64_t 投影最小Y = 0; | std::int64_t 投影最大Y = 0; | std::int64_t 深度最小 = 0; | ...(+14)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455等待项分组	外设线程_D455深度相机.ixx	2941	std::vector<结构_外设观察等待项> 全部等待项{}; | std::vector<结构_外设观察等待项> 扫描变化等待项集合{}; | std::vector<结构_外设观察等待项> 跟踪等待项集合{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455本帧报告组	外设线程_D455深度相机.ixx	2947	std::optional<结构_外设观察报告队列项> 逐簇识别报告{}; | 结构_外设观察报告队列项 稳定子集报告{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_消息中间件维护统计	线程生命周期消息模块.ixx	140	std::size_t 归档消息数 = 0; | std::size_t 删除已消费普通消息数 = 0; | std::size_t 删除无效消息数 = 0; | std::size_t 删除临时文件数 = 0; | std::size_t 删除过期归档数 = 0; | std::size_t 归档失败数 = 0; | std::size_t 删除失败数 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
待消费项	线程生命周期消息模块.ixx	1092	std::filesystem::path 路径{}; | 结构_线程生命周期消息 消息{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果补完结果	详细设计\因果类用途接口草案20260516.ixx	59	枚举_因果补完状态 状态 = 枚举_因果补完状态::无状态变化; | 基础信息节点类* 状态变化线索 = nullptr; | 因果模板节点类* 完整因果模板 = nullptr; | 因果实例节点类* 因果实例 = nullptr; | return 完整因果模板 != nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果学习诊断输入	详细设计\因果类用途接口草案20260516.ixx	72	std::vector<状态节点类*> 条件状态{}; | std::vector<状态节点类*> 条件模板{}; | 基础信息节点类* 动作语义 = nullptr; | const char* 动作语义键 = nullptr; | 方法节点类* 候选方法 = nullptr; | std::vector<状态节点类*> 结果状态{}; | std::vector<状态节点类*> 结果模板{}; | 因果模板节点类* 来源因果模板 = nullptr; | ...(+3)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果学习缺口诊断结果	详细设计\因果类用途接口草案20260516.ixx	85	枚举_因果学习缺口类型 缺口类型 = 枚举_因果学习缺口类型::无缺口; | 因果模板节点类* 来源因果模板 = nullptr; | 基础信息节点类* 来源状态变化线索 = nullptr; | 方法节点类* 相关方法 = nullptr; | 状态节点类* 目标结果状态 = nullptr; | std::int64_t 置信度 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_学习需求候选	详细设计\因果类用途接口草案20260516.ixx	94	枚举_因果学习缺口类型 缺口类型 = 枚举_因果学习缺口类型::无缺口; | 基础信息节点类* 目标宿主 = nullptr; | 基础信息节点类* 目标特征类型 = nullptr; | 状态节点类* 当前状态 = nullptr; | 状态节点类* 目标状态 = nullptr; | 因果模板节点类* 来源因果模板 = nullptr; | 基础信息节点类* 来源状态变化线索 = nullptr; | 方法节点类* 相关方法 = nullptr; | ...(+3)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_学习需求候选结果	详细设计\因果类用途接口草案20260516.ixx	110	std::vector<结构_学习需求候选> 候选{}; | bool 已生成正式需求 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果解释参数	详细设计\因果类用途接口草案20260516.ixx	115	std::uint32_t 最大反推层数 = 3; | std::uint32_t 最大候选数 = 16; | bool 允许低置信度候选 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果解释结果	详细设计\因果类用途接口草案20260516.ixx	121	状态节点类* 结果状态 = nullptr; | std::vector<因果模板节点类*> 原因模板链{}; | std::vector<基础信息节点类*> 状态变化线索链{}; | std::int64_t 最高置信度 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果预测输入	详细设计\因果类用途接口草案20260516.ixx	128	场景节点类* 当前场景 = nullptr; | 状态节点类* 条件状态 = nullptr; | 方法节点类* 候选方法 = nullptr; | 基础信息节点类* 候选动作语义 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果预测结果	详细设计\因果类用途接口草案20260516.ixx	135	std::vector<状态节点类*> 预测结果状态{}; | std::vector<状态节点类*> 预测副作用状态{}; | std::vector<因果模板节点类*> 命中模板{}; | std::int64_t 置信度 = 0; | bool 存在硬风险 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果反推输入	详细设计\因果类用途接口草案20260516.ixx	143	状态节点类* 目标结果状态 = nullptr; | std::uint32_t 最大反推层数 = 3; | std::uint32_t 最大候选数 = 16; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果反推结果	详细设计\因果类用途接口草案20260516.ixx	149	std::vector<方法节点类*> 候选方法{}; | std::vector<基础信息节点类*> 候选动作语义{}; | std::vector<因果模板节点类*> 支撑模板{}; | std::vector<状态节点类*> 必要条件状态{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果需求投影参数	详细设计\因果类用途接口草案20260516.ixx	156	需求节点类* 默认父需求 = nullptr; | bool 只生成候选 = true; | std::uint32_t 最大投影数 = 8; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果需求投影结果	详细设计\因果类用途接口草案20260516.ixx	162	std::vector<基础信息节点类*> 需求候选信息{}; | std::vector<因果模板节点类*> 来源因果模板{}; | bool 已生成正式需求 = false; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果审查输入	详细设计\因果类用途接口草案20260516.ixx	168	任务节点类* 来源任务 = nullptr; | 需求节点类* 来源需求 = nullptr; | 方法节点类* 候选方法 = nullptr; | 场景节点类* 输入参数场景 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果审查结果	详细设计\因果类用途接口草案20260516.ixx	175	bool 允许执行 = false; | bool 触发硬边界 = false; | std::vector<状态节点类*> 预期收益{}; | std::vector<状态节点类*> 预期风险{}; | std::vector<因果模板节点类*> 审查依据{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果验收输入	详细设计\因果类用途接口草案20260516.ixx	183	任务节点类* 来源任务 = nullptr; | 需求节点类* 来源需求 = nullptr; | 方法节点类* 执行动作方法 = nullptr; | 动态节点类* 动作动态 = nullptr; | 场景节点类* 输出结果场景 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果验收结果	详细设计\因果类用途接口草案20260516.ixx	191	枚举_因果评价结果 评价 = 枚举_因果评价结果::未定义; | bool 满足来源需求 = false; | std::vector<因果模板节点类*> 命中模板{}; | std::vector<状态节点类*> 实际结果状态{}; | std::vector<状态节点类*> 副作用状态{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果实例评价	详细设计\因果类用途接口草案20260516.ixx	199	因果实例节点类* 因果实例 = nullptr; | 枚举_因果评价结果 评价 = 枚举_因果评价结果::未定义; | std::int64_t 置信度增量 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果稳定度更新结果	详细设计\因果类用途接口草案20260516.ixx	205	因果模板节点类* 模板 = nullptr; | std::int64_t 成立次数 = 0; | std::int64_t 失败次数 = 0; | std::int64_t 稳定度 = 0; | bool 已更新 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求树SQL行	需求类.cpp	29	int 行号 = 0; | std::string 节点主键{}; | std::string 父节点主键{}; | int 深度 = 0; | int 同层序号 = 0; | int 直接子数量 = 0; | std::string 路径{}; | std::string 结构角色{}; | ...(+20)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_枚举目标校验结果	需求类.h	31	bool 已检查 = false; | bool 是枚举目标 = false; | bool 合法 = true; | bool 比较符合法 = true; | bool 目标值属于值域 = true; | bool 有合法生产者 = true; | const 语素入口节点类* 目标特征类型 = nullptr; | 枚举_枚举目标生产者分级::未登记; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求树更新指令	需求类.h	44	枚举_需求树更新指令类型 指令类型 = 枚举_需求树更新指令类型::未定义; | std::uintptr_t 父需求指针 = 0; | std::string 父需求主键{}; | std::uintptr_t 目标需求指针 = 0; | std::string 目标需求主键{}; | std::uintptr_t 需求主体指针 = 0; | std::string 需求主体主键{}; | std::uintptr_t 需求场景指针 = 0; | ...(+29)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_子需求平分权重	需求类.h	90	std::int64_t 安全权重 = 0; | std::int64_t 服务权重 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求目标视图项	需求类.h	95	节点类* 需求节点 = nullptr; | 可解析引用<存在节点类> 目标主体{}; | const 语素入口节点类* 目标特征类型 = nullptr; | 可解析引用<状态节点类> 当前状态{}; | 可解析引用<状态节点类> 目标状态{}; | 三向关系掩码 方向掩码 = 0; | bool 是否必需 = true; | && (当前状态.有效() || 目标状态.有效()); | ...(+1)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求方向签名	需求类.h	120	std::string 目标主体主键{}; | std::string 目标特征类型主键{}; | 三向关系掩码 方向掩码 = 0; | 二次特征主信息类::枚举_方向区间::未定义; | bool 有差值 = false; | I64 差值 = 0; | bool 有标量值 = false; | I64 标量值 = 0; | ...(+3)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求派生归因兼容视图	需求类.h	145	const std::string* 派生来源方法主键 = nullptr; | const std::string* 派生来源因果主键 = nullptr; | std::uintptr_t 派生需求类型抽象特征指针 = 0; | std::int64_t 派生需求类型值 = 0; | std::uintptr_t 派生方法需求位抽象特征指针 = 0; | std::int64_t 派生方法需求位值 = 0; | std::uintptr_t 派生本能能力缺口类型抽象特征指针 = 0; | std::int64_t 派生本能能力缺口类型值 = 0; | ...(+8)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务初始化上下文	需求类.h	202	节点类* 来源需求 = nullptr; | 可解析引用<存在节点类> 发起存在{}; | 可解析引用<场景节点类> 所属场景{}; | 可解析引用<存在节点类> 作用对象{}; | 可解析引用<状态节点类> 当前状态{}; | 可解析引用<状态节点类> 目标状态{}; | 三向关系掩码 满足关系 = 关系_等于; | const 语素入口节点类* 目标特征类型 = nullptr; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求目标语义视图	需求类.h	261	枚举_需求目标语义::目标特征未解析; | 枚举_逻辑组织需求类型::未定义; | const 语素入口节点类* 目标特征类型 = nullptr; | const char* 语义名称 = "目标特征未解析"; | bool 可进入普通候选方法筹办 = false; | bool 是逻辑组织目标 = false; | bool 是OR组目标 = false; | bool 是结算令牌目标 = false; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求获取途径语义视图	需求类.h	274	枚举_需求获取途径::未定义; | const char* 获取途径名称 = "未定义"; | 枚举_需求目标语义::目标特征未解析; | 枚举_逻辑组织需求类型::未定义; | const 语素入口节点类* 默认目标特征类型 = nullptr; | bool 语义由获取途径确定 = false; | bool 需要目标特征上下文 = false; | bool 可直接构造逻辑组织需求 = false; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_逻辑组织需求更新输入	需求类.h	289	节点类* 父需求 = nullptr; | std::string 父需求主键{}; | 存在节点类* 需求主体 = nullptr; | std::string 需求主体主键{}; | 场景节点类* 需求场景 = nullptr; | std::string 需求场景主键{}; | 存在节点类* 目标宿主 = nullptr; | std::string 目标宿主主键{}; | ...(+16)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求目标键	需求类.h	795	std::string 目标主体主键{}; | std::string 目标特征类型主键{}; | std::string 目标状态主键{}; | 特征值 目标状态值{}; | bool 目标状态值有效 = false; | 三向关系掩码 方向掩码 = 0; | return !目标特征类型主键.empty() && 方向掩码 != 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_状态转换因果边	因果类.cpp	28	状态节点类* 原因状态 = nullptr; | 状态节点类* 结果状态 = nullptr; | 动态节点类* 动作动态 = nullptr; | 因果模板节点类* 因果模板 = nullptr; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_目标投影路径	因果类.cpp	35	基础信息节点类* 目标宿主 = nullptr; | 特征节点类* 目标特征类型 = nullptr; | const 语素入口节点类* 目标特征类型词 = nullptr; | std::vector<std::string> 缺失证据{}; | std::uint32_t 结算贡献层级 = 0; | std::uint32_t 因果距离层级 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_状态转换因果投影	因果类.cpp	44	std::vector<私有_状态转换因果边> 边{}; | std::vector<私有_目标投影路径> 目标投影路径{}; | std::vector<因果模板节点类*> 目标投影来源因果模板{}; | std::vector<std::string> 缺失证据{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_叶子任务因果投影输入	因果类.h	16	任务节点类* 叶子任务 = nullptr; | 需求节点类* 来源需求 = nullptr; | 基础信息节点类* 目标宿主 = nullptr; | 特征节点类* 目标特征类型 = nullptr; | std::uint32_t 最大深度 = 8; | bool 允许未验证路径 = true; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_叶子任务因果投影预判	因果类.h	25	std::size_t 候选投影数量 = 0; | std::vector<std::uint32_t> 结算贡献层级集{}; | std::vector<std::uint32_t> 因果距离层级集{}; | std::vector<std::string> 缺失证据{}; | bool 是否允许形成D0 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检原子目标因果投影输入	因果类.h	33	任务节点类* 固定来源任务 = nullptr; | 需求节点类* 固定来源需求 = nullptr; | 基础信息节点类* 目标宿主 = nullptr; | 特征节点类* 目标特征类型 = nullptr; | const 语素入口节点类* 目标特征类型词 = nullptr; | std::uint32_t 最大深度 = 8; | bool 允许未验证路径 = true; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检原子目标因果投影结果	因果类.h	43	std::size_t 候选投影数量 = 0; | std::vector<std::uint32_t> 结算贡献层级集{}; | std::vector<std::uint32_t> 因果距离层级集{}; | std::vector<std::string> 来源因果主键集{}; | std::vector<std::string> 缺失证据{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务节点统计	鱼巢.cpp	621	std::size_t 头结点数 = 0; | std::size_t 步骤节点数 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_自我线程守卫	鱼巢.cpp	1081	bool 已启动 = false; | bool 自检已启动 = false; | 项目运行日志("程序退出/守卫 | 开始停止自检线程"); | 停止自检线程(); | 项目运行日志("程序退出/守卫 | 自检线程已停止"); | 项目运行日志("程序退出/守卫 | 开始停止D455外设线程"); | 停止外设线程_D455深度相机(); | 项目运行日志("程序退出/守卫 | D455外设线程已停止"); | ...(+10)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制台自动刷新守卫	鱼巢.cpp	1502	std::atomic_bool 运行{ false }; | std::atomic_bool 启用{ false }; | std::thread 线程{}; | return; | for (int i = 0; i < 100 && 运行.load(); ++i) { | std::this_thread::sleep_for(std::chrono::milliseconds(100)); | break; | 私有_输出控制台刷新摘要("控制台自动刷新"); | ...(+7)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_状态变化跟踪项	鱼巢.cpp	1678	bool 有状态 = false; | std::string 状态主键{}; | std::string 目标宿主主键{}; | std::string 特征类型文本{}; | std::string 特征类型主键{}; | std::string 特征值文本{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_语素SQL行	语素类.cpp	292	int 行号 = 0; | std::string 节点主键{}; | std::string 父节点主键{}; | int 深度 = 0; | int 同层序号 = 0; | int 直接子数量 = 0; | std::string 路径{}; | std::string 节点类型{}; | ...(+14)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_信息入口定义	语素主信息类.h	17	枚举_信息入口类型 信息入口类型 = 枚举_信息入口类型::未定义; | 枚举_词性 默认人类词性 = 枚举_词性::未定义; | 枚举_主信息类型 主信息类型 = 枚举_主信息类型::未定义; | 枚举_信息存储树 存储树 = 枚举_信息存储树::未定义; | const char* 默认根名 = nullptr; | bool 需要上下文限定 = false; | bool 裸词默认模板入口 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_人类词性到信息入口候选	语素主信息类.h	113	枚举_词性 人类词性 = 枚举_词性::未定义; | 枚举_信息入口类型 信息入口类型 = 枚举_信息入口类型::未定义; | int 优先级 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_二次特征方向模板	语言类_二次特征表达.cpp	82	std::vector<std::string> 关键词{}; | std::string 正向结果{}; | std::string 反向结果{}; | std::string 中性结果{}; | bool 是方位关系 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
状态创建参数	状态类.h	18	枚举_状态域 状态域 = 枚举_状态域::未定义; | 枚举_存在状态事件 事件 = 枚举_存在状态事件::未定义; | 基础信息节点类* 状态主体 = nullptr; | 特征节点类* 状态特征 = nullptr; | 特征值 状态值{}; | 基础信息节点类* 对应信息节点 = nullptr; | bool 是否变化 = false; | 时间戳 now = 0; | ...(+1)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_最近两次I64状态方向结果	状态类.h	30	bool 可比较 = false; | I64 方向 = 0; | I64 最新值 = 0; | I64 上次值 = 0; | 时间戳 最新时间 = 0; | 时间戳 上次时间 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_状态清理问题快照	状态类.h	39	bool 需要自检报告 = false; | std::uintptr_t 场景指针 = 0; | std::string 场景主键{}; | std::size_t 活动状态数量 = 0; | std::size_t 活动状态上限 = 0; | std::size_t 目标清理数量 = 0; | std::size_t 已清理数量 = 0; | std::size_t 被引用状态数量 = 0; | ...(+3)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检基础信息预检结果	自检线程模块.impl.cpp	36	bool 通过 = false; | std::string 摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抽象根特征定义_自检	自检线程模块.impl.cpp	567	枚举_自我根特征类型_自检 根特征类型 = 枚举_自我根特征类型_自检::安全; | const 语素入口节点类* 自我特征类型 = nullptr; | 抽象特征节点类* 抽象定义节点 = nullptr; | 抽象特征节点类* 目标状态节点 = nullptr; | 抽象特征节点类* 最低阈值状态节点 = nullptr; | I64区间 目标区间{ 0, -1 }; | I64区间 最低阈值区间{ 0, -1 }; | bool 目标区间有效 = false; | ...(+2)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自我根特征自检结果_自检	自检线程模块.impl.cpp	579	枚举_自我根特征类型_自检 根特征类型 = 枚举_自我根特征类型_自检::安全; | 结构_抽象根特征定义_自检 定义{}; | 存在节点类* 自我存在 = nullptr; | 特征节点类* 自我特征节点 = nullptr; | I64 当前值 = 0; | bool 当前值已读取 = false; | bool 当前值满足目标 = false; | 枚举_根特征缺口类型_自检 缺口类型 = 枚举_根特征缺口类型_自检::无缺口; | ...(+2)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法结构计数	自检线程模块.impl.cpp	1038	I64 条件数 = 0; | I64 结果数 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_条件结果对自检统计	自检线程模块.impl.cpp	1043	I64 数量 = 0; | I64 命中次数总和 = 0; | I64 最大命中次数 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
服务字段绑定结果	自我动作实现.服务模块.ixx	22	bool 成功 = false; | 特征节点类* 字段特征 = nullptr; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
服务字段动作结果	自我动作实现.服务模块.ixx	1612	bool 成功 = false; | 任务类::节点类* 任务节点 = nullptr; | 存在节点类* 任务虚拟存在 = nullptr; | const 语素入口节点类* 字段类型 = nullptr; | 特征节点类* 字段特征 = nullptr; | const void* 指针值 = nullptr; | I64 I64值 = 0; | 枚举_服务字段值类型 值类型 = 枚举_服务字段值类型::指针; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
服务方法声明装配结果	自我动作实现.服务模块.ixx	1783	bool 成功 = false; | std::size_t 已扫描声明根数 = 0; | std::size_t 已扫描字段数 = 0; | std::size_t 已挂载字段数 = 0; | std::size_t 写入失败字段数 = 0; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
服务字段检查结果	自我动作实现.服务模块.ixx	1792	bool 任务存在 = false; | bool 任务虚拟存在存在 = false; | bool 字段已挂载 = false; | bool 字段有当前值 = false; | 特征节点类* 字段特征 = nullptr; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
服务状态读取结果	自我动作实现.服务模块.ixx	2067	bool 成功 = false; | 基础信息节点类* 目标宿主 = nullptr; | const 语素入口节点类* 目标特征类型 = nullptr; | 特征节点类* 目标特征 = nullptr; | 特征值 状态值{}; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
