函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
特征_累计服务结算	自我动作实现.外设模块.ixx:782	inline const 语素入口节点类* 特征_累计服务结算() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_累计服务结算	自我动作实现模块.ixx:278	inline const 语素入口节点类* 特征_累计服务结算() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_累计运行时长	自我动作实现.外设模块.ixx:1202	inline const 语素入口节点类* 特征_累计运行时长() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_累计运行时长	自我动作实现模块.ixx:718	inline const 语素入口节点类* 特征_累计运行时长() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_练习方向	自我动作实现.外设模块.ixx:5517	inline const 语素入口节点类* 特征_练习方向() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_练习方向	自我动作实现模块.ixx:1925	inline const 语素入口节点类* 特征_练习方向() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_练习模式	自我动作实现.外设模块.ixx:5510	inline const 语素入口节点类* 特征_练习模式() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_练习模式	自我动作实现模块.ixx:1918	inline const 语素入口节点类* 特征_练习模式() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_细分层级数	自我动作实现.外设模块.ixx:3627	inline const 语素入口节点类* 特征_细分层级数() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_绑定参数数量	自我动作实现.外设模块.ixx:1856	inline const 语素入口节点类* 特征_绑定参数数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_绑定参数数量	自我动作实现模块.ixx:1372	inline const 语素入口节点类* 特征_绑定参数数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结束时间	自我动作实现.外设模块.ixx:1585	inline const 语素入口节点类* 特征_结束时间() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结束时间	自我动作实现模块.ixx:1101	inline const 语素入口节点类* 特征_结束时间() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果不符合次数	自我动作实现.外设模块.ixx:1160	inline const 语素入口节点类* 特征_结果不符合次数() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果不符合次数	自我动作实现模块.ixx:669	inline const 语素入口节点类* 特征_结果不符合次数() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果符合次数	自我动作实现.外设模块.ixx:1153	inline const 语素入口节点类* 特征_结果符合次数() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果符合次数	自我动作实现模块.ixx:662	inline const 语素入口节点类* 特征_结果符合次数() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果表	自我动作实现.外设模块.ixx:719	inline const 语素入口节点类* 特征_结果表() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果表	自我动作实现.服务模块.ixx:69	inline const 语素入口节点类* 特征_结果表() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结果表	自我动作实现模块.ixx:138	inline const 语素入口节点类* 特征_结果表() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结算前服务值	自我动作实现.服务模块.ixx:653	inline const 语素入口节点类* 特征_结算前服务值() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_结算后服务值	自我动作实现.服务模块.ixx:669	inline const 语素入口节点类* 特征_结算后服务值() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,服务,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_绘制点数量	自我动作实现.外设模块.ixx:3914	inline const 语素入口节点类* 特征_绘制点数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_绘制线段数量	自我动作实现.外设模块.ixx:3907	inline const 语素入口节点类* 特征_绘制线段数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_绘制顶点数量	自我动作实现.外设模块.ixx:3900	inline const 语素入口节点类* 特征_绘制顶点数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缓存方法虚拟存在	自我动作实现.外设模块.ixx:1919	inline const 语素入口节点类* 特征_缓存方法虚拟存在() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,存在,特征,方法,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缓存方法虚拟存在	自我动作实现模块.ixx:1435	inline const 语素入口节点类* 特征_缓存方法虚拟存在() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,存在,特征,方法,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缓存方法首节点	自我动作实现.外设模块.ixx:1912	inline const 语素入口节点类* 特征_缓存方法首节点() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,方法,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缓存方法首节点	自我动作实现模块.ixx:1428	inline const 语素入口节点类* 特征_缓存方法首节点() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,方法,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺口字段类型	自我动作实现.服务模块.ixx:837	inline const 语素入口节点类* 特征_缺口字段类型() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺口序号	自我动作实现.扫描.ixx:559	inline const 语素入口节点类* 特征_缺口序号() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,扫描	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺口特征类型状态	自我动作实现.扫描.ixx:568	inline const 语素入口节点类* 特征_缺口特征类型状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,扫描	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺口目标宿主状态	自我动作实现.扫描.ixx:565	inline const 语素入口节点类* 特征_缺口目标宿主状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,扫描	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺口类型	自我动作实现.扫描.ixx:562	inline const 语素入口节点类* 特征_缺口类型() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,扫描	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺失像素数量	自我动作实现.外设模块.ixx:2521	inline const 语素入口节点类* 特征_缺失像素数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺失原因	自我动作实现.外设模块.ixx:5272	inline const 语素入口节点类* 特征_缺失原因() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺失参数数量	自我动作实现.外设模块.ixx:1863	inline const 语素入口节点类* 特征_缺失参数数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_缺失参数数量	自我动作实现模块.ixx:1379	inline const 语素入口节点类* 特征_缺失参数数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_场景绝对坐标X	自我动作实现.外设模块.ixx:6028	inline const 语素入口节点类* 特征_自我_场景绝对坐标X() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_场景绝对坐标Y	自我动作实现.外设模块.ixx:6035	inline const 语素入口节点类* 特征_自我_场景绝对坐标Y() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_场景绝对坐标Z	自我动作实现.外设模块.ixx:6042	inline const 语素入口节点类* 特征_自我_场景绝对坐标Z() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_场景绝对坐标明确状态	自我动作实现.外设模块.ixx:6021	inline const 语素入口节点类* 特征_自我_场景绝对坐标明确状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_场景绝对姿态明确状态	自我动作实现.外设模块.ixx:6049	inline const 语素入口节点类* 特征_自我_场景绝对姿态明确状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_接触边界半径	自我动作实现.外设模块.ixx:6118	inline const 语素入口节点类* 特征_自我_接触边界半径() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_边界完整性状态	自我动作实现.外设模块.ixx:6125	inline const 语素入口节点类* 特征_自我_边界完整性状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_近身安全缓冲半径	自我动作实现.外设模块.ixx:6111	inline const 语素入口节点类* 特征_自我_近身安全缓冲半径() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,安全,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我_风险安全_场景影响部分	自我动作实现.外设模块.ixx:6503	inline const 语素入口节点类* 特征_自我_风险安全_场景影响部分() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,场景,特征,自我,安全,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我相对视图坐标系状态	自我动作实现.外设模块.ixx:6014	inline const 语素入口节点类* 特征_自我相对视图坐标系状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我边界参照存在	自我动作实现.外设模块.ixx:5993	inline const 语素入口节点类* 特征_自我边界参照存在() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,存在,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我边界参照状态	自我动作实现.外设模块.ixx:6000	inline const 语素入口节点类* 特征_自我边界参照状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我边界定义版本	自我动作实现.外设模块.ixx:6007	inline const 语素入口节点类* 特征_自我边界定义版本() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我运行状态明确状态	自我动作实现.外设模块.ixx:5783	inline const 语素入口节点类* 特征_自我运行状态明确状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我运行状态明确状态	自我动作实现模块.ixx:2212	inline const 语素入口节点类* 特征_自我运行状态明确状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我运行状态正常状态	自我动作实现.外设模块.ixx:5790	inline const 语素入口节点类* 特征_自我运行状态正常状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_自我运行状态正常状态	自我动作实现模块.ixx:2219	inline const 语素入口节点类* 特征_自我运行状态正常状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,自我,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围内点比例	自我动作实现.外设模块.ixx:4383	inline const 语素入口节点类* 特征_范围内点比例() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围变化量	自我动作实现.外设模块.ixx:3732	inline const 语素入口节点类* 特征_范围变化量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最大X	自我动作实现.外设模块.ixx:3949	inline const 语素入口节点类* 特征_范围坐标AABB最大X() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最大Y	自我动作实现.外设模块.ixx:3963	inline const 语素入口节点类* 特征_范围坐标AABB最大Y() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最大Z	自我动作实现.外设模块.ixx:3977	inline const 语素入口节点类* 特征_范围坐标AABB最大Z() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最小X	自我动作实现.外设模块.ixx:3942	inline const 语素入口节点类* 特征_范围坐标AABB最小X() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最小Y	自我动作实现.外设模块.ixx:3956	inline const 语素入口节点类* 特征_范围坐标AABB最小Y() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标AABB最小Z	自我动作实现.外设模块.ixx:3970	inline const 语素入口节点类* 特征_范围坐标AABB最小Z() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围坐标重叠率	自我动作实现.外设模块.ixx:3690	inline const 语素入口节点类* 特征_范围坐标重叠率() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_范围稳定性评分	自我动作实现.外设模块.ixx:4040	inline const 语素入口节点类* 特征_范围稳定性评分() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合低稳定像素数量	自我动作实现.外设模块.ixx:2871	inline const 语素入口节点类* 特征_融合低稳定像素数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合依据帧集合状态	自我动作实现.外设模块.ixx:2815	inline const 语素入口节点类* 特征_融合依据帧集合状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度平均方差	自我动作实现.外设模块.ixx:2885	inline const 语素入口节点类* 特征_融合深度平均方差() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度有效像素数量	自我动作实现.外设模块.ixx:2850	inline const 语素入口节点类* 特征_融合深度有效像素数量() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度有效性结构状态	自我动作实现.外设模块.ixx:2829	inline const 语素入口节点类* 特征_融合深度有效性结构状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度有效率	自我动作实现.外设模块.ixx:2857	inline const 语素入口节点类* 特征_融合深度有效率() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度毫米结构状态	自我动作实现.外设模块.ixx:2822	inline const 语素入口节点类* 特征_融合深度毫米结构状态() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
特征_融合深度稳定性平均值	自我动作实现.外设模块.ixx:2878	inline const 语素入口节点类* 特征_融合深度稳定性平均值() noexcept		const 语素入口节点类*	节点类,节点,语素入口,枚举_,语素,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点,语素入口,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
