live	函数名	未限定名	定义位置	call_like_count	功能	签名风险标记	命中位置
yes	私有_当前时间_微秒	私有_当前时间_微秒	线程生命周期消息模块.ixx:161	4	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:161;线程生命周期消息模块.ixx:661;线程生命周期消息模块.ixx:718;线程生命周期消息模块.ixx:939
yes	私有_从字段构造消息	私有_从字段构造消息	线程生命周期消息模块.ixx:277	4	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:277;线程生命周期消息模块.ixx:764;线程生命周期消息模块.ixx:806;线程生命周期消息模块.ixx:1103
yes	私有_是正式线程生命周期消息文件	私有_是正式线程生命周期消息文件	线程生命周期消息模块.ixx:585	4	服务所在模块的内部辅助流程。		线程生命周期消息模块.ixx:585;线程生命周期消息模块.ixx:758;线程生命周期消息模块.ixx:800;线程生命周期消息模块.ixx:1098
yes	线程生命周期消息事件文本	线程生命周期消息事件文本	线程生命周期消息模块.ixx:922	4	按函数名执行对应处理。		线程生命周期消息模块.ixx:112;线程生命周期消息模块.ixx:578;线程生命周期消息模块.ixx:922;线程生命周期消息模块.ixx:1021
yes	发送线程生命周期消息	发送线程生命周期消息	线程生命周期消息模块.ixx:954	4	按函数名执行对应处理。		任务模块.管理界面线程.impl.cpp:99;控制面板摘要线程模块.impl.cpp:81;线程生命周期消息模块.ixx:954;自我线程模块.impl.cpp:12655
yes	空间候选范围有效	空间候选范围有效	自我动作实现.外设模块.ixx:10001	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10001;自我动作实现.外设模块.ixx:10074;自我动作实现.外设模块.ixx:10475;自我动作实现.外设模块.ixx:11313
yes	空间候选AABB间隔	空间候选AABB间隔	自我动作实现.外设模块.ixx:10010	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10010;自我动作实现.外设模块.ixx:10041;自我动作实现.外设模块.ixx:10059;自我动作实现.外设模块.ixx:10299
yes	组合观察存在假设	组合观察存在假设	自我动作实现.外设模块.ixx:10397	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:10397;自我动作实现.外设模块.ixx:26506;自我动作实现.外设模块.ixx:26588;自我动作实现.外设模块.ixx:26672
yes	特征_读取特征类型	特征_读取特征类型	自我动作实现.外设模块.ixx:1109	4	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:1109;自我动作实现.外设模块.ixx:8367;自我动作实现模块.ixx:626;自我动作实现模块.ixx:3246
yes	读取空间候选逐项账本	读取空间候选逐项账本	自我动作实现.外设模块.ixx:11860	4	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:11860;自我动作实现.外设模块.ixx:12841;自我动作实现.外设模块.ixx:12842;自我动作实现.外设模块.ixx:12843
yes	读取观察诊断区域逐项账本	读取观察诊断区域逐项账本	自我动作实现.外设模块.ixx:11966	4	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:11966;自我动作实现.外设模块.ixx:12854;自我动作实现.外设模块.ixx:12855;自我动作实现.外设模块.ixx:12856
yes	写入双目相机观察帧摘要	写入双目相机观察帧摘要	自我动作实现.外设模块.ixx:11995	4	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:11995;自我动作实现.外设模块.ixx:12118;自我动作实现.外设模块.ixx:17848;自我动作实现.外设模块.ixx:17912
yes	特征_平均运行时长	特征_平均运行时长	自我动作实现.外设模块.ixx:1207	4	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1207;自我动作实现.外设模块.ixx:8985;自我动作实现模块.ixx:731;自我动作实现模块.ixx:4126
yes	写入双目相机像素特征索引摘要	写入双目相机像素特征索引摘要	自我动作实现.外设模块.ixx:12112	4	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:12112;自我动作实现.外设模块.ixx:13079;自我动作实现.外设模块.ixx:18119;自我动作实现.外设模块.ixx:25470
yes	特征_最近执行时间	特征_最近执行时间	自我动作实现.外设模块.ixx:1221	4	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:1221;自我动作实现.外设模块.ixx:8987;自我动作实现模块.ixx:745;自我动作实现模块.ixx:4128
yes	特征_最近完成时间	特征_最近完成时间	自我动作实现.外设模块.ixx:1228	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1228;自我动作实现.外设模块.ixx:8988;自我动作实现模块.ixx:752;自我动作实现模块.ixx:4129
yes	查找子存在_按类型并按特征I64	查找子存在_按类型并按特征I64	自我动作实现.外设模块.ixx:13286	4	按条件查找目标对象、方法或事实。		自我动作实现.外设模块.ixx:13286;自我动作实现.外设模块.ixx:13937;自我动作实现.外设模块.ixx:13942;自我动作实现.外设模块.ixx:13948
yes	查找首个已确认观察存在	查找首个已确认观察存在	自我动作实现.外设模块.ixx:13333	4	按条件查找目标对象、方法或事实。		自我动作实现.外设模块.ixx:13333;自我动作实现.外设模块.ixx:13784;自我动作实现.外设模块.ixx:13785;自我动作实现.外设模块.ixx:13786
yes	收集已确认观察存在	收集已确认观察存在	自我动作实现.外设模块.ixx:13360	4	确认候选事实、存在、状态或运行结果。		自我动作实现.外设模块.ixx:13360;自我动作实现.外设模块.ixx:13380;自我动作实现.外设模块.ixx:13381;自我动作实现.外设模块.ixx:13382
yes	评估当前场景特征值材料门	评估当前场景特征值材料门	自我动作实现.外设模块.ixx:13416	4	评估状态、风险、质量、权重或完成度。		自我动作实现.外设模块.ixx:13416;自我动作实现.外设模块.ixx:18918;自我动作实现.外设模块.ixx:20787;自我动作实现.外设模块.ixx:22995
yes	读取内部世界上下文	读取内部世界上下文	自我动作实现.外设模块.ixx:13871	4	从指定来源读取数据或状态。		自我动作实现.外设模块.ixx:13871;自我动作实现.外设模块.ixx:21017;自我动作实现.外设模块.ixx:25538;自我动作实现.外设模块.ixx:25783
yes	观察变化关系键	观察变化关系键	自我动作实现.外设模块.ixx:14500	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:14500;自我动作实现.外设模块.ixx:14514;自我动作实现.外设模块.ixx:14574;自我动作实现.外设模块.ixx:14649
yes	类型_运行虚拟存在	类型_运行虚拟存在	自我动作实现.外设模块.ixx:1534	4	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:1534;自我动作实现.外设模块.ixx:8882;自我动作实现模块.ixx:1058;自我动作实现模块.ixx:4023
yes	特征_返回参数信息	特征_返回参数信息	自我动作实现.外设模块.ixx:1555	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1555;自我动作实现.外设模块.ixx:8917;自我动作实现模块.ixx:1079;自我动作实现模块.ixx:4058
yes	特征_返回场景信息	特征_返回场景信息	自我动作实现.外设模块.ixx:1562	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1562;自我动作实现.外设模块.ixx:8925;自我动作实现模块.ixx:1086;自我动作实现模块.ixx:4066
yes	特征_方法虚拟存在	特征_方法虚拟存在	自我动作实现.外设模块.ixx:1569	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1569;自我动作实现.外设模块.ixx:8888;自我动作实现模块.ixx:1093;自我动作实现模块.ixx:4029
yes	特征_结束时间	特征_结束时间	自我动作实现.外设模块.ixx:1583	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1583;自我动作实现.外设模块.ixx:8904;自我动作实现模块.ixx:1107;自我动作实现模块.ixx:4045
yes	特征_抽象特征引用	特征_抽象特征引用	自我动作实现.外设模块.ixx:1728	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1728;自我动作实现模块.ixx:1252;自我动作实现模块.ixx:3309;自我动作实现模块.ixx:4695
yes	特征_配对状态	特征_配对状态	自我动作实现.外设模块.ixx:1875	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:1875;自我动作实现模块.ixx:1399;自我动作实现模块.ixx:9859;自我动作实现模块.ixx:9866
yes	值_本轮运行虚拟存在缺失	值_本轮运行虚拟存在缺失	自我动作实现.外设模块.ixx:2057	4	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:2057;自我动作实现.外设模块.ixx:9233;自我动作实现模块.ixx:1581;自我动作实现模块.ixx:4392
yes	值_外设打开失败	值_外设打开失败	自我动作实现.外设模块.ixx:2106	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2106;自我动作实现.外设模块.ixx:11352;自我动作实现.外设模块.ixx:11527;自我动作实现模块.ixx:1630
yes	值_外设不可用	值_外设不可用	自我动作实现.外设模块.ixx:2113	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2113;自我动作实现.外设模块.ixx:11354;自我动作实现.外设模块.ixx:11528;自我动作实现模块.ixx:1637
yes	特征_候选存在数量	特征_候选存在数量	自我动作实现.外设模块.ixx:2183	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2183;自我动作实现.外设模块.ixx:17288;自我动作实现.外设模块.ixx:26787;自我动作实现模块.ixx:1707
yes	特征_当前观察帧存在	特征_当前观察帧存在	自我动作实现.外设模块.ixx:2407	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2407;自我动作实现.外设模块.ixx:12493;自我动作实现.外设模块.ixx:15461;自我动作实现.外设模块.ixx:15474
yes	特征_当前观察帧存在状态	特征_当前观察帧存在状态	自我动作实现.外设模块.ixx:2414	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2414;自我动作实现.外设模块.ixx:12494;自我动作实现.外设模块.ixx:15462;自我动作实现.外设模块.ixx:15475
yes	特征_外设观察存在基准状态	特征_外设观察存在基准状态	自我动作实现.外设模块.ixx:2428	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2428;自我动作实现.外设模块.ixx:12496;自我动作实现.外设模块.ixx:15464;自我动作实现.外设模块.ixx:15477
yes	特征_像素观察存在数量	特征_像素观察存在数量	自我动作实现.外设模块.ixx:2512	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2512;自我动作实现.外设模块.ixx:12009;自我动作实现.外设模块.ixx:12141;自我动作实现.外设模块.ixx:15518
yes	特征_缺失像素数量	特征_缺失像素数量	自我动作实现.外设模块.ixx:2519	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2519;自我动作实现.外设模块.ixx:12010;自我动作实现.外设模块.ixx:12142;自我动作实现.外设模块.ixx:15519
yes	特征_重复映射数量	特征_重复映射数量	自我动作实现.外设模块.ixx:2526	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2526;自我动作实现.外设模块.ixx:12011;自我动作实现.外设模块.ixx:12143;自我动作实现.外设模块.ixx:15520
yes	执行自我变化发现动作	执行自我变化发现动作	自我动作实现.外设模块.ixx:25950	4	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:25950;自我动作实现.外设模块.ixx:26066;自我动作实现.外设模块.ixx:26084;自我动作实现.外设模块.ixx:26102
yes	特征_基础观察事实失败条件数量	特征_基础观察事实失败条件数量	自我动作实现.外设模块.ixx:2673	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:2673;自我动作实现.外设模块.ixx:12035;自我动作实现.外设模块.ixx:12235;自我动作实现.外设模块.ixx:15623
yes	特征_诊断区域数量	特征_诊断区域数量	自我动作实现.外设模块.ixx:3023	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3023;自我动作实现.外设模块.ixx:12103;自我动作实现.外设模块.ixx:12807;自我动作实现.外设模块.ixx:15391
yes	特征_诊断区域集合状态	特征_诊断区域集合状态	自我动作实现.外设模块.ixx:3030	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3030;自我动作实现.外设模块.ixx:12104;自我动作实现.外设模块.ixx:12810;自我动作实现.外设模块.ixx:15392
yes	特征_诊断区域编号	特征_诊断区域编号	自我动作实现.外设模块.ixx:3044	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3044;自我动作实现.外设模块.ixx:11895;自我动作实现.外设模块.ixx:11918;自我动作实现.外设模块.ixx:11950
yes	特征_诊断区域图层类型	特征_诊断区域图层类型	自我动作实现.外设模块.ixx:3051	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3051;自我动作实现.外设模块.ixx:11902;自我动作实现.外设模块.ixx:11919;自我动作实现.外设模块.ixx:11953
yes	特征_主空间候选编号	特征_主空间候选编号	自我动作实现.外设模块.ixx:3331	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3331;自我动作实现.外设模块.ixx:13087;自我动作实现.外设模块.ixx:14968;自我动作实现.外设模块.ixx:15100
yes	特征_主空间候选像素数量	特征_主空间候选像素数量	自我动作实现.外设模块.ixx:3338	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3338;自我动作实现.外设模块.ixx:13088;自我动作实现.外设模块.ixx:14969;自我动作实现.外设模块.ixx:15101
yes	特征_空间候选编号	特征_空间候选编号	自我动作实现.外设模块.ixx:3345	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3345;自我动作实现.外设模块.ixx:11720;自我动作实现.外设模块.ixx:11734;自我动作实现.外设模块.ixx:11805
yes	特征_空间候选像素数量	特征_空间候选像素数量	自我动作实现.外设模块.ixx:3352	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3352;自我动作实现.外设模块.ixx:11735;自我动作实现.外设模块.ixx:11808;自我动作实现.外设模块.ixx:22327
yes	特征_内部世界子存在事实提交状态	特征_内部世界子存在事实提交状态	自我动作实现.外设模块.ixx:3534	4	提交事实、动态、任务状态或运行回执。		自我动作实现.外设模块.ixx:3534;自我动作实现.外设模块.ixx:17086;自我动作实现.外设模块.ixx:25824;自我动作实现.外设模块.ixx:25879
yes	特征_内部世界子存在原始事实写入状态	特征_内部世界子存在原始事实写入状态	自我动作实现.外设模块.ixx:3541	4	把处理结果写入指定对象、场景或日志。		自我动作实现.外设模块.ixx:3541;自我动作实现.外设模块.ixx:17087;自我动作实现.外设模块.ixx:25808;自我动作实现.外设模块.ixx:25880
yes	特征_内部世界子存在与内部世界关联状态	特征_内部世界子存在与内部世界关联状态	自我动作实现.外设模块.ixx:3548	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3548;自我动作实现.外设模块.ixx:17088;自我动作实现.外设模块.ixx:25809;自我动作实现.外设模块.ixx:25881
yes	特征_局部观察切片	特征_局部观察切片	自我动作实现.外设模块.ixx:3555	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3555;自我动作实现.外设模块.ixx:14047;自我动作实现.外设模块.ixx:14190;自我动作实现.外设模块.ixx:17029
yes	特征_匹配置信度	特征_匹配置信度	自我动作实现.外设模块.ixx:3702	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3702;自我动作实现.外设模块.ixx:14559;自我动作实现.外设模块.ixx:14731;自我动作实现.外设模块.ixx:17138
yes	特征_观察变化事件类型	特征_观察变化事件类型	自我动作实现.外设模块.ixx:3765	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:3765;自我动作实现.外设模块.ixx:14687;自我动作实现.外设模块.ixx:14733;自我动作实现.外设模块.ixx:17180
yes	特征_最近深度	特征_最近深度	自我动作实现.外设模块.ixx:4017	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4017;自我动作实现.外设模块.ixx:11751;自我动作实现.外设模块.ixx:11824;自我动作实现.外设模块.ixx:13099
yes	特征_最远深度	特征_最远深度	自我动作实现.外设模块.ixx:4024	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4024;自我动作实现.外设模块.ixx:11752;自我动作实现.外设模块.ixx:11825;自我动作实现.外设模块.ixx:13100
yes	特征_空间候选优先级评分	特征_空间候选优先级评分	自我动作实现.外设模块.ixx:4157	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4157;自我动作实现.外设模块.ixx:12903;自我动作实现.外设模块.ixx:21595;自我动作实现.外设模块.ixx:22714
yes	特征_候选像素掩码状态	特征_候选像素掩码状态	自我动作实现.外设模块.ixx:4206	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4206;自我动作实现.外设模块.ixx:13165;自我动作实现.外设模块.ixx:16885;自我动作实现.外设模块.ixx:23939
yes	特征_平面轮廓状态	特征_平面轮廓状态	自我动作实现.外设模块.ixx:4241	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4241;自我动作实现.外设模块.ixx:7393;自我动作实现.外设模块.ixx:7396;自我动作实现.外设模块.ixx:22341
yes	特征_空间极值轮廓状态	特征_空间极值轮廓状态	自我动作实现.外设模块.ixx:4255	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4255;自我动作实现.外设模块.ixx:7412;自我动作实现.外设模块.ixx:7415;自我动作实现.外设模块.ixx:22342
yes	特征_轮廓闭合度	特征_轮廓闭合度	自我动作实现.外设模块.ixx:4325	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4325;自我动作实现.外设模块.ixx:11765;自我动作实现.外设模块.ixx:11838;自我动作实现.外设模块.ixx:14292
yes	特征_全帧像素归属账状态	特征_全帧像素归属账状态	自我动作实现.外设模块.ixx:4465	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4465;自我动作实现.外设模块.ixx:13064;自我动作实现.外设模块.ixx:16951;自我动作实现.外设模块.ixx:16959
yes	特征_存在当前特征状态	特征_存在当前特征状态	自我动作实现.外设模块.ixx:4535	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4535;自我动作实现.外设模块.ixx:16389;自我动作实现.外设模块.ixx:24388;自我动作实现.外设模块.ixx:24568
yes	特征_存在特征变化动态	特征_存在特征变化动态	自我动作实现.外设模块.ixx:4542	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4542;自我动作实现.外设模块.ixx:16390;自我动作实现.外设模块.ixx:23125;自我动作实现.外设模块.ixx:24579
yes	特征_目标存在跟踪稳定动态	特征_目标存在跟踪稳定动态	自我动作实现.外设模块.ixx:4675	4	执行跟踪相关定位、匹配或结果输出逻辑。		自我动作实现.外设模块.ixx:4675;自我动作实现.外设模块.ixx:16251;自我动作实现.外设模块.ixx:21982;自我动作实现.外设模块.ixx:23128
yes	特征_目标存在区间迁移动态	特征_目标存在区间迁移动态	自我动作实现.外设模块.ixx:4682	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4682;自我动作实现.外设模块.ixx:16252;自我动作实现.外设模块.ixx:21985;自我动作实现.外设模块.ixx:23129
yes	特征_目标存在丢失动态	特征_目标存在丢失动态	自我动作实现.外设模块.ixx:4689	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4689;自我动作实现.外设模块.ixx:16253;自我动作实现.外设模块.ixx:21988;自我动作实现.外设模块.ixx:23130
yes	特征_目标存在重捕获动态	特征_目标存在重捕获动态	自我动作实现.外设模块.ixx:4696	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4696;自我动作实现.外设模块.ixx:16254;自我动作实现.外设模块.ixx:21991;自我动作实现.外设模块.ixx:23131
yes	特征_目标存在预测偏差超限动态	特征_目标存在预测偏差超限动态	自我动作实现.外设模块.ixx:4703	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4703;自我动作实现.外设模块.ixx:16255;自我动作实现.外设模块.ixx:21994;自我动作实现.外设模块.ixx:23132
yes	特征_当前观察候选存在验证状态	特征_当前观察候选存在验证状态	自我动作实现.外设模块.ixx:4731	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4731;自我动作实现.外设模块.ixx:16460;自我动作实现.外设模块.ixx:22409;自我动作实现.外设模块.ixx:22470
yes	特征_已确认观察存在生成条件明确状态	特征_已确认观察存在生成条件明确状态	自我动作实现.外设模块.ixx:4738	4	根据当前输入生成目标数据、场景、动态或回执。		自我动作实现.外设模块.ixx:4738;自我动作实现.外设模块.ixx:16461;自我动作实现.外设模块.ixx:22410;自我动作实现.外设模块.ixx:22477
yes	特征_外设观察验证通过簇数量	特征_外设观察验证通过簇数量	自我动作实现.外设模块.ixx:4766	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4766;自我动作实现.外设模块.ixx:16464;自我动作实现.外设模块.ixx:22413;自我动作实现.外设模块.ixx:22498
yes	特征_外设观察验证失败簇数量	特征_外设观察验证失败簇数量	自我动作实现.外设模块.ixx:4773	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4773;自我动作实现.外设模块.ixx:16465;自我动作实现.外设模块.ixx:22414;自我动作实现.外设模块.ixx:22505
yes	特征_外设观察验证证据不足簇数量	特征_外设观察验证证据不足簇数量	自我动作实现.外设模块.ixx:4780	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4780;自我动作实现.外设模块.ixx:16466;自我动作实现.外设模块.ixx:22415;自我动作实现.外设模块.ixx:22512
yes	特征_外设观察验证缺失材料数量	特征_外设观察验证缺失材料数量	自我动作实现.外设模块.ixx:4787	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4787;自我动作实现.外设模块.ixx:16467;自我动作实现.外设模块.ixx:22416;自我动作实现.外设模块.ixx:22519
yes	特征_外设观察存在_自我存在同一性评分	特征_外设观察存在_自我存在同一性评分	自我动作实现.外设模块.ixx:4878	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4878;自我动作实现.外设模块.ixx:16144;自我动作实现.外设模块.ixx:21443;自我动作实现.外设模块.ixx:21603
yes	特征_外设观察存在同一性证据帧数	特征_外设观察存在同一性证据帧数	自我动作实现.外设模块.ixx:4885	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4885;自我动作实现.外设模块.ixx:16145;自我动作实现.外设模块.ixx:16182;自我动作实现.外设模块.ixx:21606
yes	特征_外设观察存在跨帧匹配状态	特征_外设观察存在跨帧匹配状态	自我动作实现.外设模块.ixx:4892	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4892;自我动作实现.外设模块.ixx:16146;自我动作实现.外设模块.ixx:16184;自我动作实现.外设模块.ixx:21607
yes	特征_外设观察存在跨帧连续命中次数	特征_外设观察存在跨帧连续命中次数	自我动作实现.外设模块.ixx:4899	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4899;自我动作实现.外设模块.ixx:16147;自我动作实现.外设模块.ixx:16187;自我动作实现.外设模块.ixx:21608
yes	特征_外设观察存在跨帧复现离散度	特征_外设观察存在跨帧复现离散度	自我动作实现.外设模块.ixx:4906	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:4906;自我动作实现.外设模块.ixx:16148;自我动作实现.外设模块.ixx:16191;自我动作实现.外设模块.ixx:21609
yes	特征_映射稳定性状态	特征_映射稳定性状态	自我动作实现.外设模块.ixx:5004	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5004;自我动作实现.外设模块.ixx:16307;自我动作实现.外设模块.ixx:23972;自我动作实现.外设模块.ixx:24087
yes	特征_当前观察范围可观测单位存在对应缺口可解释状态	特征_当前观察范围可观测单位存在对应缺口可解释状态	自我动作实现.外设模块.ixx:5053	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5053;自我动作实现.外设模块.ixx:16313;自我动作实现.外设模块.ixx:23541;自我动作实现.外设模块.ixx:24093
yes	特征_观察存在发现来源动作动态	特征_观察存在发现来源动作动态	自我动作实现.外设模块.ixx:5081	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5081;自我动作实现.外设模块.ixx:16356;自我动作实现.外设模块.ixx:23124;自我动作实现.外设模块.ixx:24397
yes	特征_已知存在当前帧扫描状态	特征_已知存在当前帧扫描状态	自我动作实现.外设模块.ixx:5137	4	执行扫描相关材料获取、比较或提交逻辑。		自我动作实现.外设模块.ixx:5137;自我动作实现.外设模块.ixx:16613;自我动作实现.外设模块.ixx:24898;自我动作实现.外设模块.ixx:24920
yes	特征_当前帧遮挡判断状态	特征_当前帧遮挡判断状态	自我动作实现.外设模块.ixx:5151	4	判断条件、状态或业务结果是否成立。		自我动作实现.外设模块.ixx:5151;自我动作实现.外设模块.ixx:16615;自我动作实现.外设模块.ixx:24899;自我动作实现.外设模块.ixx:24922
yes	特征_当前帧轮廓冲突区域明确状态	特征_当前帧轮廓冲突区域明确状态	自我动作实现.外设模块.ixx:5158	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5158;自我动作实现.外设模块.ixx:16616;自我动作实现.外设模块.ixx:24900;自我动作实现.外设模块.ixx:24923
yes	特征_当前帧区域归属原因掩码	特征_当前帧区域归属原因掩码	自我动作实现.外设模块.ixx:5179	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5179;自我动作实现.外设模块.ixx:16619;自我动作实现.外设模块.ixx:24908;自我动作实现.外设模块.ixx:24926
yes	特征_观察确认补偿状态	特征_观察确认补偿状态	自我动作实现.外设模块.ixx:5263	4	确认候选事实、存在、状态或运行结果。		自我动作实现.外设模块.ixx:5263;自我动作实现.外设模块.ixx:11776;自我动作实现.外设模块.ixx:11849;自我动作实现.外设模块.ixx:16923
yes	特征_缺失原因	特征_缺失原因	自我动作实现.外设模块.ixx:5270	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5270;自我动作实现.外设模块.ixx:11777;自我动作实现.外设模块.ixx:11850;自我动作实现.外设模块.ixx:16924
yes	特征_未解释区域状态	特征_未解释区域状态	自我动作实现.外设模块.ixx:5277	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5277;自我动作实现.外设模块.ixx:11778;自我动作实现.外设模块.ixx:11851;自我动作实现.外设模块.ixx:16925
yes	特征_补全候选状态	特征_补全候选状态	自我动作实现.外设模块.ixx:5284	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5284;自我动作实现.外设模块.ixx:11780;自我动作实现.外设模块.ixx:11853;自我动作实现.外设模块.ixx:16927
yes	特征_低置信轮廓状态	特征_低置信轮廓状态	自我动作实现.外设模块.ixx:5291	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5291;自我动作实现.外设模块.ixx:11781;自我动作实现.外设模块.ixx:11854;自我动作实现.外设模块.ixx:16928
yes	特征_试运行次数	特征_试运行次数	自我动作实现.外设模块.ixx:5487	4	执行对应模块、线程或方法的运行逻辑。		自我动作实现.外设模块.ixx:5487;自我动作实现模块.ixx:1903;自我动作实现模块.ixx:5781;自我动作实现模块.ixx:10023
yes	特征_参数新颖性状态	特征_参数新颖性状态	自我动作实现.外设模块.ixx:5550	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5550;自我动作实现模块.ixx:1966;自我动作实现模块.ixx:5790;自我动作实现模块.ixx:6682
yes	特征_内化状态	特征_内化状态	自我动作实现.外设模块.ixx:5633	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5633;自我动作实现模块.ixx:2049;自我动作实现模块.ixx:7002;自我动作实现模块.ixx:9033
yes	特征_动作主体替换状态	特征_动作主体替换状态	自我动作实现.外设模块.ixx:5640	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5640;自我动作实现模块.ixx:2056;自我动作实现模块.ixx:7003;自我动作实现模块.ixx:9034
yes	方法状态_待可执行入口	方法状态_待可执行入口	自我动作实现.外设模块.ixx:5701	4	执行任务、方法或动作的主体逻辑。		自我动作实现.外设模块.ixx:5701;自我动作实现.外设模块.ixx:8510;自我动作实现模块.ixx:2138;自我动作实现模块.ixx:3577
yes	特征_满足证据	特征_满足证据	自我动作实现.外设模块.ixx:5729	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5729;自我动作实现模块.ixx:2166;自我动作实现模块.ixx:7192;自我动作实现模块.ixx:12328
yes	特征_当前场景特征值可读材料门版本	特征_当前场景特征值可读材料门版本	自我动作实现.外设模块.ixx:5869	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5869;自我动作实现.外设模块.ixx:13723;自我动作实现.外设模块.ixx:15657;自我动作实现.外设模块.ixx:16582
yes	特征_当前场景特征值可读存在数量	特征_当前场景特征值可读存在数量	自我动作实现.外设模块.ixx:5876	4	按函数名执行对应处理。		自我动作实现.外设模块.ixx:5876;自我动作实现.外设模块.ixx:13725;自我动作实现.外设模块.ixx:15658;自我动作实现.外设模块.ixx:16583
