"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"值_实际差值未命中约束"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7191[定义];自我动作实现模块.ixx:2345[定义]"
"值_差值约束包缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7205[定义];自我动作实现模块.ixx:2359[定义]"
"值_差值计算溢出"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7170[定义];自我动作实现模块.ixx:2324[定义]"
"值_必需参数缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7226[定义];自我动作实现模块.ixx:2380[定义]"
"值_执行前值缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7149[定义];自我动作实现模块.ixx:2303[定义]"
"值_执行失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1349[定义];自我动作实现模块.ixx:842[定义]"
"值_执行差值与目标值冲突"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7184[定义];自我动作实现模块.ixx:2338[定义]"
"值_执行成功"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1343[定义];自我动作实现模块.ixx:836[定义]"
"值_执行缺口_任务状态不允许执行"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1468[定义];自我动作实现模块.ixx:961[定义]"
"值_执行缺口_可执行输入参数场景缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1482[定义];自我动作实现模块.ixx:975[定义]"
"值_执行缺口_当前方法执行失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1503[定义];自我动作实现模块.ixx:996[定义]"
"值_执行缺口_当前方法无执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1489[定义];自我动作实现模块.ixx:982[定义]"
"值_执行缺口_当前方法条件不满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1496[定义];自我动作实现模块.ixx:989[定义]"
"值_执行缺口_当前方法缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1475[定义];自我动作实现模块.ixx:968[定义]"
"值_执行缺口_输出结果缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1510[定义];自我动作实现模块.ixx:1003[定义]"
"值_执行缺口_需求未满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1517[定义];自我动作实现模块.ixx:1010[定义]"
"值_方法域动作动态创建失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7296[定义];自我动作实现模块.ixx:2457[定义]"
"值_方法条件结果场景缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2089[定义];自我动作实现模块.ixx:1582[定义]"
"值_方法虚拟存在缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2068[定义];自我动作实现模块.ixx:1561[定义]"
"值_方法规格确认失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2096[定义];自我动作实现模块.ixx:1589[定义]"
"值_方法运行结果_筹办失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1552[定义];自我动作实现模块.ixx:1045[定义]"
"值_方法运行结果_筹办成功"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1538[定义];自我动作实现模块.ixx:1031[定义]"
"值_方法运行结果_筹办未完成"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1545[定义];自我动作实现模块.ixx:1038[定义]"
"值_方法配对结果创建失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2103[定义];自我动作实现模块.ixx:1596[定义]"
"值_方法配对结果缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7212[定义];自我动作实现模块.ixx:2366[定义]"
"值_无执行缺口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1461[定义];自我动作实现模块.ixx:954[定义]"
"值_无筹办缺口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1405[定义];自我动作实现模块.ixx:898[定义]"
"值_本轮运行虚拟存在缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2082[定义];自我动作实现模块.ixx:1575[定义]"
"值_来源_任务提供参数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7338[定义];自我动作实现模块.ixx:2499[定义]"
"值_来源_方法固定参数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1281[定义];自我动作实现模块.ixx:774[定义]"
"值_来源_目标现实场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1288[定义];自我动作实现模块.ixx:781[定义]"
"值_来源_练习自动生成"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7345[定义];自我动作实现模块.ixx:2506[定义]"
"值_来源_输入任务参数包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1267[定义];自我动作实现模块.ixx:760[定义]"
"值_来源_输入条件包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1274[定义];自我动作实现模块.ixx:767[定义]"
"值_来源_输入现实场景包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1260[定义];自我动作实现模块.ixx:753[定义]"
"值_没有匹配方法"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2047[定义];自我动作实现模块.ixx:1540[定义]"
"值_派生需求_检查当前方法执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1531[定义];自我动作实现模块.ixx:1024[定义]"
"值_派生需求_重新筹办任务"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1524[定义];自我动作实现模块.ixx:1017[定义]"
"值_目标值类型不是I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7394[定义];自我动作实现模块.ixx:2555[定义]"
"值_目标实例特征缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7142[定义];自我动作实现模块.ixx:2296[定义]"
"值_目标抽象特征无效"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7380[定义];自我动作实现模块.ixx:2541[定义]"
"值_目标方法头节点缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7233[定义];自我动作实现模块.ixx:2387[定义]"
"值_目标方法尚未好用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7324[定义];自我动作实现模块.ixx:2485[定义]"
"值_目标特征写入失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7198[定义];自我动作实现模块.ixx:2352[定义]"
"值_目标特征缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7331[定义];自我动作实现模块.ixx:2492[定义]"
"值_筹办缺口_任务信息缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1412[定义];自我动作实现模块.ixx:905[定义]"
"值_筹办缺口_候选方法不可用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1433[定义];自我动作实现模块.ixx:926[定义]"
"值_筹办缺口_候选方法条件不满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1447[定义];自我动作实现模块.ixx:940[定义]"
"值_筹办缺口_候选方法缺执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1440[定义];自我动作实现模块.ixx:933[定义]"
"值_筹办缺口_参数配对失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1454[定义];自我动作实现模块.ixx:947[定义]"
"值_筹办缺口_无确定候选方法"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1426[定义];自我动作实现模块.ixx:919[定义]"
"值_筹办缺口_需求目标不可解析"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1419[定义];自我动作实现模块.ixx:912[定义]"
"值_缺少执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7359[定义];自我动作实现模块.ixx:2520[定义]"
"值_缺少执行差值或目标值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7177[定义];自我动作实现模块.ixx:2331[定义]"
"值_自我动作缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7310[定义];自我动作实现模块.ixx:2471[定义]"
"值_自身方法头节点缺失"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2075[定义];自我动作实现模块.ixx:1568[定义]"
"值_超出限制"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2040[定义];自我动作实现模块.ixx:1533[定义]"
"值_输入快照过期"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7156[定义];自我动作实现模块.ixx:2310[定义]"
"值_输入条件包绑定失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2061[定义];自我动作实现模块.ixx:1554[定义]"
"值_输入绑定失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2033[定义];自我动作实现模块.ixx:1526[定义]"
"值_需求未满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7373[定义];自我动作实现模块.ixx:2534[定义]"
"值_需求满足"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7366[定义];自我动作实现模块.ixx:2527[定义]"
"值类型_I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1295[定义];自我动作实现模块.ixx:788[定义]"
"值类型_场景指针"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1309[定义];自我动作实现模块.ixx:802[定义]"
"值类型_特征值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1323[定义];自我动作实现模块.ixx:816[定义]"
"值类型_特征类型指针"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1316[定义];自我动作实现模块.ixx:809[定义]"
"值类型_类型I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1302[定义];自我动作实现模块.ixx:795[定义]"
"关闭项目日志"	"2"	"1"	"1"	"日志接入.h:9[声明];日志模块.ixx:561[定义]"
"写入任务结果状态摘要_兼容"	"2"	"0"	"2"	"任务类.h:93[声明];任务类.h:96[声明]"
"写入参数绑定失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9018[定义];自我动作实现模块.ixx:4094[定义]"
"写入基础节点I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7499[定义];自我动作实现模块.ixx:2660[定义]"
"写入基础节点指针"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7486[定义];自我动作实现模块.ixx:2647[定义]"
"写入基础节点特征值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7773[定义];自我动作实现模块.ixx:2672[定义]"
"写入存在I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7453[定义];自我动作实现模块.ixx:2614[定义]"
"写入存在指针"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7469[定义];自我动作实现模块.ixx:2630[定义]"
"写入方法执行情况"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8768[定义];自我动作实现模块.ixx:3309[定义]"
"写入方法补齐任务输入目标方法"	"2"	"2"	"0"	"任务模块.筹办.ixx:4717[定义];任务模块.筹办.ixx:4794[定义]"
"写入本能方法自身环境失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9536[定义];自我动作实现模块.ixx:4451[定义]"
"写入目标方法I64实际结果状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8470[定义];自我动作实现模块.ixx:3011[定义]"
"写入目标方法I64特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8212[定义];自我动作实现模块.ixx:2858[定义]"
"写入目标方法I64特征派生需求"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8354[定义];自我动作实现模块.ixx:2991[定义]"
"写入目标方法特征派生需求"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8228[定义];自我动作实现模块.ixx:2874[定义]"
"写入目标方法状态派生需求"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8333[定义];自我动作实现模块.ixx:2970[定义]"
"分层_登记叶子_已加锁"	"2"	"1"	"1"	"特征值类.h:392[定义];特征值类.h:420[声明]"
"创建二次特征"	"2"	"0"	"2"	"世界树类.h:176[声明];二次特征类.h:19[声明]"
"创建叶子抽象特征"	"2"	"0"	"2"	"世界树类.h:112[声明];特征类.h:267[声明]"
"创建场景"	"2"	"0"	"2"	"世界树类.h:170[声明];场景类.h:14[声明]"
"创建复合抽象特征"	"2"	"0"	"2"	"世界树类.h:117[声明];特征类.h:272[声明]"
"创建存在"	"2"	"0"	"2"	"世界树类.h:139[声明];存在类.h:27[声明]"
"创建抽象特征"	"2"	"0"	"2"	"世界树类.h:111[声明];特征类.h:266[声明]"
"创建特征"	"2"	"0"	"2"	"世界树类.h:136[声明];特征类.h:294[声明]"
"创建状态"	"2"	"0"	"2"	"世界树类.h:177[声明];状态类.h:71[声明]"
"初始化全链自环"	"2"	"1"	"1"	"双向链表模板核心.h:74[定义];双向链表模板核心.h:87[声明]"
"初始化同层自环"	"2"	"1"	"1"	"双向链表模板核心.h:66[定义];双向链表模板核心.h:86[声明]"
"初始化度量模板注册表"	"2"	"1"	"1"	"度量模板注册表桥接.cpp:6[定义];度量模板注册表桥接.h:14[声明]"
"初始化项目日志"	"2"	"1"	"1"	"日志接入.h:8[声明];日志模块.ixx:544[定义]"
"删除节点"	"2"	"1"	"1"	"双向链表模板核心.h:541[定义];基础信息类.h:26[声明]"
"删除链表"	"2"	"1"	"1"	"双向链表模板核心.h:168[声明];双向链表模板核心.h:588[定义]"
"判断二次特征方向"	"2"	"2"	"0"	"二次特征应用模块.ixx:218[定义];二次特征应用模块.ixx:288[定义]"
"判断方向是否一致"	"2"	"2"	"0"	"二次特征应用模块.ixx:296[定义];二次特征应用模块.ixx:317[定义]"
"刷新度量签名_链键"	"2"	"1"	"1"	"二次特征类.h:96[声明];基础信息主信息类.h:696[定义]"
"刷新需求结构角色"	"2"	"1"	"1"	"需求类.h:518[定义];需求类.h:535[声明]"
"动态类::创建动态"	"2"	"2"	"0"	"动态类.cpp:498[定义];动态类.cpp:695[定义]"
"动态类::取动态主信息"	"2"	"2"	"0"	"动态类.cpp:480[定义];动态类.cpp:486[定义]"
"匹配抽象特征"	"2"	"0"	"2"	"世界树类.h:122[声明];特征类.h:309[声明]"
"取或创建子存在_按类型"	"2"	"0"	"2"	"世界树类.h:140[声明];存在类.h:38[声明]"
"取或创建子存在_按类型并按特征I64"	"2"	"0"	"2"	"世界树类.h:141[声明];存在类.h:42[声明]"
"取或创建子特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7967[定义];自我动作实现模块.ixx:2695[定义]"
"取或创建子特征_按类型"	"2"	"0"	"2"	"世界树类.h:138[声明];特征类.h:300[声明]"
"取或创建存在概念根"	"2"	"0"	"2"	"世界树类.h:90[声明];基础信息类.h:31[声明]"
"取或创建实例特征_按抽象特征"	"2"	"0"	"2"	"世界树类.h:126[声明];特征类.h:313[声明]"
"取条件节点信息"	"2"	"2"	"0"	"方法主信息类.h:368[定义];方法主信息类.h:374[定义]"
"取特征主信息"	"2"	"2"	"0"	"本能动作类.ixx:26[定义];本能动作类.ixx:32[定义]"
"取结果节点信息"	"2"	"2"	"0"	"方法主信息类.h:380[定义];方法主信息类.h:386[定义]"
"取首个方法条件节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9480[定义];自我动作实现模块.ixx:4374[定义]"
"取首节点信息"	"2"	"2"	"0"	"方法主信息类.h:356[定义];方法主信息类.h:362[定义]"
"可用任务头"	"2"	"2"	"0"	"自我线程模块.impl.cpp:5176[定义];自我线程模块.impl.cpp:5183[定义]"
"合并需求主信息_已加锁"	"2"	"1"	"1"	"需求类.h:998[定义];需求类.h:1108[声明]"
"同步执行桥语义槽"	"2"	"2"	"0"	"任务模块.执行.ixx:62[定义];任务模块.执行.ixx:70[定义]"
"因果类::取因果主信息"	"2"	"2"	"0"	"因果类.cpp:1100[定义];因果类.cpp:1106[定义]"
"因果类::取模板主信息"	"2"	"2"	"0"	"因果类.cpp:1112[定义];因果类.cpp:1118[定义]"
"因果类::生成因果信息"	"2"	"2"	"0"	"因果类.cpp:1821[定义];因果类.cpp:1846[定义]"
"场景类::取场景主信息"	"2"	"2"	"0"	"场景类.cpp:138[定义];场景类.cpp:144[定义]"
"场景节点主信息类"	"2"	"2"	"0"	"基础信息主信息类.h:527[定义];基础信息主信息类.h:530[定义]"
"增加场景I64特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9000[定义];自我动作实现模块.ixx:4076[定义]"
"声明运行参数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9046[定义];自我动作实现模块.ixx:4121[定义]"
"存在类::取存在主信息"	"2"	"2"	"0"	"存在类.cpp:155[定义];存在类.cpp:165[定义]"
"存在类::确保存在三类根节点"	"2"	"2"	"0"	"存在类.cpp:176[定义];存在类.cpp:183[定义]"
"存在类::获取任务根节点"	"2"	"2"	"0"	"存在类.cpp:206[定义];存在类.cpp:213[定义]"
"存在类::获取方法根节点"	"2"	"2"	"0"	"存在类.cpp:220[定义];存在类.cpp:227[定义]"
"存在类::获取需求根节点"	"2"	"2"	"0"	"存在类.cpp:192[定义];存在类.cpp:199[定义]"
"实际结果场景复现既有结果_条件结果对归并"	"2"	"2"	"0"	"自我动作实现模块.ixx:3475[定义];自我动作实现模块.ixx:3771[定义]"
"已注册"	"2"	"2"	"0"	"动作线程类.ixx:230[定义];度量模板注册表类.ixx:92[定义]"
"成功"	"2"	"2"	"0"	"任务模块.筹办.ixx:5852[定义];自我线程模块.impl.cpp:238[定义]"
"抽象条件场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8569[定义];自我动作实现模块.ixx:3110[定义]"
"抽象条件集合根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8587[定义];自我动作实现模块.ixx:3128[定义]"
"抽象结果场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8578[定义];自我动作实现模块.ixx:3119[定义]"
"指针日志文本"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9530[定义];自我动作实现模块.ixx:4424[定义]"
"推导方法状态_结构与运行账"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8966[定义];自我动作实现模块.ixx:3713[定义]"
"描述无条件本能"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9087[定义];自我动作实现模块.ixx:4162[定义]"
"提交"	"2"	"2"	"0"	"动作线程类.ixx:358[定义];动作线程类.ixx:365[定义]"
"提交任务状态被动动作"	"2"	"2"	"0"	"自我动作实现.内部模块.ixx:136[定义];自我动作实现模块.ixx:11739[定义]"
"方法主信息类"	"2"	"1"	"1"	"方法主信息类.h:300[声明];方法主信息类.h:303[定义]"
"方法具有已注册本能执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8927[定义];自我动作实现模块.ixx:3593[定义]"
"方法具有本能执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8904[定义];自我动作实现模块.ixx:3570[定义]"
"方法树根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9105[定义];自我动作实现模块.ixx:4180[定义]"
"方法状态_可用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5877[定义];自我动作实现模块.ixx:2150[定义]"
"方法状态_好用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5880[定义];自我动作实现模块.ixx:2153[定义]"
"方法状态_待可执行入口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5859[定义];自我动作实现模块.ixx:2132[定义]"
"方法状态_待方法动作"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5856[定义];自我动作实现模块.ixx:2129[定义]"
"方法状态_待条件结果对"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5868[定义];自我动作实现模块.ixx:2141[定义]"
"方法状态_待条件节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5862[定义];自我动作实现模块.ixx:2135[定义]"
"方法状态_待运行账"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5874[定义];自我动作实现模块.ixx:2147[定义]"
"方法状态_有条件结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5871[定义];自我动作实现模块.ixx:2144[定义]"
"方法状态_有条件节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5865[定义];自我动作实现模块.ixx:2138[定义]"
"方法真实条件结果对数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8886[定义];自我动作实现模块.ixx:3552[定义]"
"方法真实条件节点数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8868[定义];自我动作实现模块.ixx:3534[定义]"
"方法类::查找方法首节点_按动作句柄"	"2"	"2"	"0"	"方法类.cpp:1444[定义];方法类.cpp:1459[定义]"
"方法类::查找方法首节点_按动作名"	"2"	"2"	"0"	"方法类.cpp:1467[定义];方法类.cpp:1482[定义]"
"方法虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8203[定义];自我动作实现模块.ixx:2849[定义]"
"方法补齐类别值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5729[定义];自我动作实现模块.ixx:1981[定义]"
"方法规格根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8730[定义];自我动作实现模块.ixx:3271[定义]"
"是有效本能方法能力值"	"2"	"0"	"2"	"方法类.h:83[声明];本能方法类.h:137[声明]"
"是有效治理边"	"2"	"2"	"0"	"基础数据类型.h:1857[定义];基础数据类型.h:1891[定义]"
"普通候选方法筹办禁止原因"	"2"	"0"	"2"	"需求类.h:387[声明];需求类.h:390[声明]"
"更新方法运行账"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9410[定义];自我动作实现模块.ixx:4304[定义]"
"有区间"	"2"	"2"	"0"	"基础信息主信息类.h:351[定义];基础信息主信息类.h:450[定义]"
"本能ID是当前默认自我本能_动作模块"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8920[定义];自我动作实现模块.ixx:3586[定义]"
"本能动作可作为练习目标"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8939[定义];自我动作实现模块.ixx:3617[定义]"
"本能动作已注册_动作模块"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8912[定义];自我动作实现模块.ixx:3578[定义]"
"本轮运行虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9344[定义];自我动作实现模块.ixx:4238[定义]"
"条件节点已有结果子节点_条件结果对归并"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8851[定义];自我动作实现模块.ixx:3509[定义]"
"查找_已加锁"	"2"	"2"	"0"	"特征值类.h:131[定义];特征值类.h:145[定义]"
"查找子特征_按类型"	"2"	"0"	"2"	"存在类.h:76[声明];特征类.h:305[声明]"
"查找方法首节点_按动作句柄"	"2"	"0"	"2"	"方法类.h:16[声明];方法类.h:19[声明]"
"查找方法首节点_按动作名"	"2"	"0"	"2"	"方法类.h:23[声明];方法类.h:26[声明]"
"查找等价条件节点_条件结果对归并"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8828[定义];自我动作实现模块.ixx:3486[定义]"
"校验抽象特征子链"	"2"	"0"	"2"	"世界树类.h:121[声明];特征类.h:287[声明]"
"校验结构"	"2"	"2"	"0"	"双向链表模板核心.h:599[定义];基础信息主信息类.h:388[定义]"
"根据概念扩充实例记忆"	"2"	"0"	"2"	"世界树类.h:161[声明];存在类.h:86[声明]"
"检查"	"2"	"1"	"1"	"双目相机本能适配器.cpp:1355[定义];双目相机本能适配器.h:205[声明]"
"深拷贝树"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:11[定义];双向链表模板核心.h:668[声明]"
"深拷贝树_已加锁"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:20[定义];双向链表模板核心.h:669[声明]"
"深拷贝树_独立"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:3[定义];双向链表模板核心.h:667[声明]"
"添加信息入口词"	"2"	"0"	"2"	"语素类.h:57[声明];语素类.h:58[声明]"
"添加子节点_已加锁"	"2"	"2"	"0"	"双向链表模板核心.h:309[定义];双向链表模板核心.h:341[定义]"
"添加节点_已加锁"	"2"	"2"	"0"	"双向链表模板核心.h:261[定义];双向链表模板核心.h:290[定义]"
"清理执行输出派生需求标记"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8015[定义];自我动作实现模块.ixx:2743[定义]"
"点值"	"2"	"2"	"0"	"二次特征应用模块.ixx:58[定义];基础数据类型.h:35[定义]"
"点索引"	"2"	"2"	"0"	"基础数据类型.h:1329[定义];基础数据类型.h:1332[定义]"
"特征_任务参数包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1071[定义];自我动作实现模块.ixx:557[定义]"
"特征_任务完成度百万分比"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:826[定义];自我动作实现模块.ixx:306[定义]"
"特征_任务层执行回执"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:938[定义];自我动作实现模块.ixx:424[定义]"
"特征_任务状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:924[定义];自我动作实现模块.ixx:404[定义]"
"特征_使用限制包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1914[定义];自我动作实现模块.ixx:1407[定义]"
"特征_使用默认方法搜索根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2026[定义];自我动作实现模块.ixx:1519[定义]"
"特征_候选动作节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5756[定义];自我动作实现模块.ixx:2008[定义]"
"特征_候选存在数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2208[定义];自我动作实现模块.ixx:1701[定义]"
"特征_候选存在集合"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2201[定义];自我动作实现模块.ixx:1694[定义]"
"特征_候选实参数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5687[定义];自我动作实现模块.ixx:1939[定义]"
"特征_候选实参表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5680[定义];自我动作实现模块.ixx:1932[定义]"
"特征_候选形参包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5770[定义];自我动作实现模块.ixx:2022[定义]"
"特征_候选扫描数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2005[定义];自我动作实现模块.ixx:1498[定义]"
"特征_候选方法头节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1057[定义];自我动作实现模块.ixx:543[定义]"
"特征_候选方法数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1050[定义];自我动作实现模块.ixx:536[定义]"
"特征_候选方法能力包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5763[定义];自我动作实现模块.ixx:2015[定义]"
"特征_候选结果包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5777[定义];自我动作实现模块.ixx:2029[定义]"
"特征_候选范围包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1697[定义];自我动作实现模块.ixx:1190[定义]"
"特征_值域抽象距离"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1984[定义];自我动作实现模块.ixx:1477[定义]"
"特征_允许值类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1788[定义];自我动作实现模块.ixx:1281[定义]"
"特征_允许执行差值区间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1795[定义];自我动作实现模块.ixx:1288[定义]"
"特征_内化状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5791[定义];自我动作实现模块.ixx:2043[定义]"
"特征_剩余差距"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:980[定义];自我动作实现模块.ixx:466[定义]"
"特征_动作主体"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5749[定义];自我动作实现模块.ixx:2001[定义]"
"特征_动作主体替换状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5798[定义];自我动作实现模块.ixx:2050[定义]"
"特征_动作执行失败次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1197[定义];自我动作实现模块.ixx:690[定义]"
"特征_动作执行成功次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1190[定义];自我动作实现模块.ixx:683[定义]"
