"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"值_来源_输入条件包"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1274: inline const 语素入口节点类* 值_来源_输入条件包() noexcept || 自我动作实现模块.ixx:767: inline const 语素入口节点类* 值_来源_输入条件包() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_来源_输入现实场景包"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1260: inline const 语素入口节点类* 值_来源_输入现实场景包() noexcept || 自我动作实现模块.ixx:753: inline const 语素入口节点类* 值_来源_输入现实场景包() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_没有匹配方法"	"2"	"2"	"0"	"2"	"1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:2047: inline const 语素入口节点类* 值_没有匹配方法() noexcept || 自我动作实现模块.ixx:1540: inline const 语素入口节点类* 值_没有匹配方法() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_派生需求_检查当前方法执行入口"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1531: inline const 语素入口节点类* 值_派生需求_检查当前方法执行入口() noexcept || 自我动作实现模块.ixx:1024: inline const 语素入口节点类* 值_派生需求_检查当前方法执行入口() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_派生需求_重新筹办任务"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1524: inline const 语素入口节点类* 值_派生需求_重新筹办任务() noexcept || 自我动作实现模块.ixx:1017: inline const 语素入口节点类* 值_派生需求_重新筹办任务() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标值类型不是I64"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7394: inline const 语素入口节点类* 值_目标值类型不是I64() noexcept || 自我动作实现模块.ixx:2555: inline const 语素入口节点类* 值_目标值类型不是I64() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标实例特征缺失"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7142: inline const 语素入口节点类* 值_目标实例特征缺失() noexcept || 自我动作实现模块.ixx:2296: inline const 语素入口节点类* 值_目标实例特征缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标抽象特征无效"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7380: inline const 语素入口节点类* 值_目标抽象特征无效() noexcept || 自我动作实现模块.ixx:2541: inline const 语素入口节点类* 值_目标抽象特征无效() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标方法头节点缺失"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7233: inline const 语素入口节点类* 值_目标方法头节点缺失() noexcept || 自我动作实现模块.ixx:2387: inline const 语素入口节点类* 值_目标方法头节点缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标方法尚未好用"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7324: inline const 语素入口节点类* 值_目标方法尚未好用() noexcept || 自我动作实现模块.ixx:2485: inline const 语素入口节点类* 值_目标方法尚未好用() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标特征写入失败"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7198: inline const 语素入口节点类* 值_目标特征写入失败() noexcept || 自我动作实现模块.ixx:2352: inline const 语素入口节点类* 值_目标特征写入失败() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_目标特征缺失"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7331: inline const 语素入口节点类* 值_目标特征缺失() noexcept || 自我动作实现模块.ixx:2492: inline const 语素入口节点类* 值_目标特征缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_任务信息缺失"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1412: inline const 语素入口节点类* 值_筹办缺口_任务信息缺失() noexcept || 自我动作实现模块.ixx:905: inline const 语素入口节点类* 值_筹办缺口_任务信息缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_候选方法不可用"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1433: inline const 语素入口节点类* 值_筹办缺口_候选方法不可用() noexcept || 自我动作实现模块.ixx:926: inline const 语素入口节点类* 值_筹办缺口_候选方法不可用() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_候选方法条件不满足"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1447: inline const 语素入口节点类* 值_筹办缺口_候选方法条件不满足() noexcept || 自我动作实现模块.ixx:940: inline const 语素入口节点类* 值_筹办缺口_候选方法条件不满足() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_候选方法缺执行入口"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1440: inline const 语素入口节点类* 值_筹办缺口_候选方法缺执行入口() noexcept || 自我动作实现模块.ixx:933: inline const 语素入口节点类* 值_筹办缺口_候选方法缺执行入口() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_参数配对失败"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1454: inline const 语素入口节点类* 值_筹办缺口_参数配对失败() noexcept || 自我动作实现模块.ixx:947: inline const 语素入口节点类* 值_筹办缺口_参数配对失败() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_无确定候选方法"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1426: inline const 语素入口节点类* 值_筹办缺口_无确定候选方法() noexcept || 自我动作实现模块.ixx:919: inline const 语素入口节点类* 值_筹办缺口_无确定候选方法() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_筹办缺口_需求目标不可解析"	"2"	"2"	"0"	"2"	"1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1419: inline const 语素入口节点类* 值_筹办缺口_需求目标不可解析() noexcept || 自我动作实现模块.ixx:912: inline const 语素入口节点类* 值_筹办缺口_需求目标不可解析() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_缺少执行入口"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7359: inline const 语素入口节点类* 值_缺少执行入口() noexcept || 自我动作实现模块.ixx:2520: inline const 语素入口节点类* 值_缺少执行入口() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_缺少执行差值或目标值"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7177: inline const 语素入口节点类* 值_缺少执行差值或目标值() noexcept || 自我动作实现模块.ixx:2331: inline const 语素入口节点类* 值_缺少执行差值或目标值() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_自我动作缺失"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7310: inline const 语素入口节点类* 值_自我动作缺失() noexcept || 自我动作实现模块.ixx:2471: inline const 语素入口节点类* 值_自我动作缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_自身方法头节点缺失"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:2075: inline const 语素入口节点类* 值_自身方法头节点缺失() noexcept || 自我动作实现模块.ixx:1568: inline const 语素入口节点类* 值_自身方法头节点缺失() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_超出限制"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:2040: inline const 语素入口节点类* 值_超出限制() noexcept || 自我动作实现模块.ixx:1533: inline const 语素入口节点类* 值_超出限制() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_输入快照过期"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7156: inline const 语素入口节点类* 值_输入快照过期() noexcept || 自我动作实现模块.ixx:2310: inline const 语素入口节点类* 值_输入快照过期() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_输入条件包绑定失败"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:2061: inline const 语素入口节点类* 值_输入条件包绑定失败() noexcept || 自我动作实现模块.ixx:1554: inline const 语素入口节点类* 值_输入条件包绑定失败() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_输入绑定失败"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:2033: inline const 语素入口节点类* 值_输入绑定失败() noexcept || 自我动作实现模块.ixx:1526: inline const 语素入口节点类* 值_输入绑定失败() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_需求未满足"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7373: inline const 语素入口节点类* 值_需求未满足() noexcept || 自我动作实现模块.ixx:2534: inline const 语素入口节点类* 值_需求未满足() noexcept"	"同名不同功能或约束，禁止直接合并"
"值_需求满足"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7366: inline const 语素入口节点类* 值_需求满足() noexcept || 自我动作实现模块.ixx:2527: inline const 语素入口节点类* 值_需求满足() noexcept"	"同名不同功能或约束，禁止直接合并"
"值类型_I64"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1295: inline const 语素入口节点类* 值类型_I64() noexcept || 自我动作实现模块.ixx:788: inline const 语素入口节点类* 值类型_I64() noexcept"	"同名不同功能或约束，禁止直接合并"
"值类型_场景指针"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1309: inline const 语素入口节点类* 值类型_场景指针() noexcept || 自我动作实现模块.ixx:802: inline const 语素入口节点类* 值类型_场景指针() noexcept"	"同名不同功能或约束，禁止直接合并"
"值类型_特征值"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1323: inline const 语素入口节点类* 值类型_特征值() noexcept || 自我动作实现模块.ixx:816: inline const 语素入口节点类* 值类型_特征值() noexcept"	"同名不同功能或约束，禁止直接合并"
"值类型_特征类型指针"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1316: inline const 语素入口节点类* 值类型_特征类型指针() noexcept || 自我动作实现模块.ixx:809: inline const 语素入口节点类* 值类型_特征类型指针() noexcept"	"同名不同功能或约束，禁止直接合并"
"值类型_类型I64"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1302: inline const 语素入口节点类* 值类型_类型I64() noexcept || 自我动作实现模块.ixx:795: inline const 语素入口节点类* 值类型_类型I64() noexcept"	"同名不同功能或约束，禁止直接合并"
"值转文本"	"2"	"2"	"0"	"1"	"2x 类别=执行;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=inline"	"2x 原地保留/待复核"	"动作验证报告类.h:179: inline std::string 值转文本(const 结构_动作验证值& 值) || 动作验证报告类.ixx:181: inline std::string 值转文本(const 结构_动作验证值& 值)"	"功能签名一致，按专用归属复核"
"关闭项目日志"	"2"	"1"	"1"	"1"	"2x 类别=日志;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=日志;约束=noexcept"	"2x 专用类/对应头文件：日志"	"日志接入.h:9: void 关闭项目日志() noexcept || 日志模块.ixx:561: void 关闭项目日志() noexcept"	"功能签名一致，按专用归属复核"
"写入任务结果状态摘要_兼容"	"2"	"0"	"2"	"1"	"2x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept+static"	"2x 专用类/对应头文件：任务"	"任务类.h:93: static bool 写入任务结果状态摘要_兼容( 节点类* 任务节点, const 可解析引用<状态节点类>& 状态引用) noexcept || 任务类.h:96: static bool 写入任务结果状态摘要_兼容( 节点类* 任务节点, 状态节点类* 状态节点) noexcept"	"功能签名一致，按专用归属复核"
"写入参数绑定失败"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:9018: inline void 写入参数绑定失败( 存在节点类* 运行存在, 场景节点类* 输出结果场景, 时间戳 now) noexcept || 自我动作实现模块.ixx:4094: inline void 写入参数绑定失败( 存在节点类* 运行存在, 场景节点类* 输出结果场景, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入基础节点I64"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7499: inline bool 写入基础节点I64( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept || 自我动作实现模块.ixx:2660: inline bool 写入基础节点I64( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入基础节点指针"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7486: inline bool 写入基础节点指针( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, const void* 指针, 时间戳 now) noexcept || 自我动作实现模块.ixx:2647: inline bool 写入基础节点指针( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, const void* 指针, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入基础节点特征值"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7773: inline bool 写入基础节点特征值( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, const 特征值& 值, 时间戳 now) noexcept || 自我动作实现模块.ixx:2672: inline bool 写入基础节点特征值( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, const 特征值& 值, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入存在I64"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7453: inline bool 写入存在I64( 存在节点类* 存在, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept || 自我动作实现模块.ixx:2614: inline bool 写入存在I64( 存在节点类* 存在, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入存在指针"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7469: inline bool 写入存在指针( 存在节点类* 存在, const 语素入口节点类* 特征类型, const void* 指针, 时间戳 now) noexcept || 自我动作实现模块.ixx:2630: inline bool 写入存在指针( 存在节点类* 存在, const 语素入口节点类* 特征类型, const void* 指针, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入方法执行情况"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8768: inline bool 写入方法执行情况( 基础信息节点类* 宿主, const 语素入口节点类* 情况, 时间戳 now) noexcept || 自我动作实现模块.ixx:3309: inline bool 写入方法执行情况( 基础信息节点类* 宿主, const 语素入口节点类* 情况, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入方法补齐任务输入目标方法"	"2"	"2"	"0"	"1"	"2x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"2x 专用类/对应头文件：任务"	"任务模块.筹办.ixx:4717: void 写入方法补齐任务输入目标方法( 任务节点* 任务头, 方法节点* 被补方法, 场景节点类* 输入参数场景, 时间戳 now) noexcept || 任务模块.筹办.ixx:4794: void 写入方法补齐任务输入目标方法( 任务节点* 任务头, 方法节点* 被补方法, 时间戳 now) noexcept"	"功能签名一致，按专用归属复核"
